"_ano_pesquisa","regiao_onde_mora","nivel","modelo_de_trabalho_atual","qtd_respondentes"
"2023","Centro-oeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Norte","Sênior","Modelo 100% remoto","6"
"2023",,"Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Nordeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023",,,"Modelo híbrido com dias fixos de trabalho presencial","6"
"2023",,"Júnior","Modelo 100% presencial","5"
"2023","Norte","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2023",,"Pleno","Modelo híbrido com dias fixos de trabalho presencial","5"
"2023","Centro-oeste",,"Modelo híbrido com dias fixos de trabalho presencial","5"
"2023","Norte","Pleno","Modelo 100% presencial","5"
"2023","Nordeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Norte","Pleno","Modelo híbrido com dias fixos de trabalho presencial","3"
"2023","Norte",,"Modelo 100% remoto","3"
"2023",,"Sênior","Modelo híbrido com dias fixos de trabalho presencial","3"
"2023",,"Júnior","Modelo híbrido com dias fixos de trabalho presencial","2"
"2023","Norte",,"Modelo híbrido com dias fixos de trabalho presencial","2"
"2023","Norte","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","2"
"2023","Norte","Sênior","Modelo 100% presencial","2"
"2023",,,"Modelo 100% presencial","2"
"2023","Norte","Júnior","Modelo híbrido com dias fixos de trabalho presencial","1"
"2023","Norte","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2023",,"Pleno","Modelo 100% presencial","1"
"2024","Sudeste","Sênior","Modelo 100% remoto","507"
"2024","Sudeste","Pleno","Modelo 100% remoto","368"
"2024","Sudeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","237"
"2024","Sudeste",,"Modelo 100% remoto","227"
"2024","Sudeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","226"
"2024","Sul","Sênior","Modelo 100% remoto","213"
"2024","Sudeste",,,"192"
"2024","Sudeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","183"
"2024","Sudeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","167"
"2024","Sudeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","167"
"2024","Sudeste","Júnior","Modelo 100% remoto","156"
"2024","Sudeste",,"Modelo híbrido com dias fixos de trabalho presencial","155"
"2024","Sul","Pleno","Modelo 100% remoto","141"
