"_ano_pesquisa","situacao_de_trabalho","setor","numero_de_funcionarios","modelo_de_trabalho_atual","qtd_respondentes"
"2023","Empregado (CLT)","Setor de Energia","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","16"
"2023","Empregado (CLT)","Educação","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","16"
"2023","Empregado (CLT)","Outra Opção","de 101 a 500","Modelo 100% remoto","16"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","16"
"2023","Empregado (CLT)","Educação","Acima de 3.000","Modelo 100% remoto","15"
"2023","Empregado (CLT)","Internet/Ecommerce","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","15"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 1 a 5","Modelo 100% remoto","15"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","15"
"2023","Empregado (CLT)","Área da Saúde","Acima de 3.000","Modelo 100% presencial","14"
"2023","Empregado (CLT)","Indústria","de 1.001 a 3.000","Modelo 100% presencial","14"
"2023","Empregado (CLT)","Outra Opção","de 101 a 500","Modelo 100% presencial","13"
"2023","Empregado (CLT)","Educação","de 101 a 500","Modelo 100% remoto","13"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 11 a 50","Modelo 100% remoto","13"
"2023","Empregado (CLT)","Área de Consultoria","de 1.001 a 3.000","Modelo 100% remoto","13"
"2023","Empregado (CLT)","Setor de Energia","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","13"
"2023","Empregado (CLT)","Finanças ou Bancos","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","13"
"2023","Empregado (CLT)","Setor Alimentício","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","13"
"2023","Empregado (CLT)","Finanças ou Bancos","de 501 a 1.000","Modelo 100% presencial","13"
"2023","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 101 a 500","Modelo 100% remoto","13"
"2023","Empregado (CLT)","Marketing","de 101 a 500","Modelo 100% remoto","13"
"2023","Empregado (CLT)","Outra Opção","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","13"
"2023","Empregado (CLT)","Outra Opção","de 501 a 1.000","Modelo 100% remoto","12"
"2023","Empregado (CLT)","Setor Alimentício","Acima de 3.000","Modelo 100% presencial","12"
"2023","Empregado (CLT)","Setor Farmaceutico","Acima de 3.000","Modelo 100% remoto","11"
"2023","Empregado (CLT)","Finanças ou Bancos","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","11"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 101 a 500","Modelo 100% remoto","11"
"2023","Estagiário","Finanças ou Bancos","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","11"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","11"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 51 a 100","Modelo 100% presencial","11"
"2023","Servidor Público","Setor Público","de 101 a 500","Modelo 100% presencial","11"
"2023","Empregado (CLT)","Setor Automotivo","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","11"
"2023","Empregado (CLT)","Internet/Ecommerce","de 101 a 500","Modelo 100% remoto","11"
"2023","Empregado (CLT)","Internet/Ecommerce","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","11"
"2023","Empregado (CLT)","Área de Consultoria","de 11 a 50","Modelo 100% remoto","11"
"2023","Empreendedor ou Empregado (CNPJ)","Área da Saúde","de 11 a 50","Modelo 100% remoto","11"
"2023","Empregado (CLT)","Educação","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","11"
"2023","Empregado (CLT)","Internet/Ecommerce","de 1.001 a 3.000","Modelo 100% remoto","11"
"2023","Empregado (CLT)","Indústria","de 101 a 500","Modelo 100% presencial","11"
"2023","Empregado (CLT)","Setor de Energia","Acima de 3.000","Modelo 100% presencial","10"
"2023","Empregado (CLT)","Área da Saúde","de 101 a 500","Modelo 100% remoto","10"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","10"
"2023","Desempregado e não estou buscando recolocação",,,,"10"
"2023","Empregado (CLT)","Varejo","de 1.001 a 3.000","Modelo 100% remoto","10"
"2023","Empregado (CLT)","Área de Consultoria","de 51 a 100","Modelo 100% remoto","10"
"2023","Empregado (CLT)","Outra Opção","de 1.001 a 3.000","Modelo 100% remoto","10"
"2023","Empregado (CLT)","Varejo","de 101 a 500","Modelo 100% presencial","10"
"2023","Empregado (CLT)","Setor Alimentício","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","10"
"2023","Empregado (CLT)","Outra Opção","de 11 a 50","Modelo 100% presencial","10"
"2023","Empregado (CLT)","Telecomunicação","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","10"
"2023","Empregado (CLT)","Finanças ou Bancos","de 11 a 50","Modelo 100% presencial","10"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","10"
"2023","Servidor Público","Setor Público","de 1.001 a 3.000","Modelo 100% presencial","9"
"2023","Empregado (CLT)","Setor Automotivo","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","9"
"2023","Empregado (CLT)","Seguros ou Previdência","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","9"
"2023","Empregado (CLT)","Agronegócios","de 101 a 500","Modelo 100% remoto","9"
"2023","Empregado (CLT)","Setor de Energia","Acima de 3.000","Modelo 100% remoto","9"
"2023","Empregado (CLT)","Área de Consultoria","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","9"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","9"
"2023","Empregado (CLT)","Agronegócios","Acima de 3.000","Modelo 100% presencial","9"
"2023","Servidor Público","Setor Público","Acima de 3.000","Modelo 100% remoto","9"
"2023","Empregado (CLT)","Varejo","Acima de 3.000","Modelo 100% presencial","9"
"2023","Servidor Público","Setor Público","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","9"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 101 a 500","Modelo 100% presencial","9"
"2023","Empregado (CLT)","Outra Opção","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","9"
"2023","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 11 a 50","Modelo 100% remoto","9"
"2023","Empregado (CLT)","Educação","de 501 a 1.000","Modelo 100% remoto","8"
"2023","Empregado (CLT)","Educação","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","8"
"2023","Empregado (CLT)","Setor Público","Acima de 3.000","Modelo 100% remoto","8"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","8"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","8"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","8"
"2023","Empregado (CLT)","Varejo","de 1.001 a 3.000","Modelo 100% presencial","8"
"2023","Servidor Público","Setor Público","de 501 a 1.000","Modelo 100% presencial","8"
"2023","Empregado (CLT)","Setor Imobiliário/ Construção Civil","Acima de 3.000","Modelo 100% remoto","8"
"2023","Freelancer","Área de Consultoria","de 1 a 5","Modelo 100% remoto","7"
"2023","Empregado (CLT)","Outra Opção","de 1.001 a 3.000","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Área de Consultoria","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","7"
"2023","Empregado (CLT)","Área da Saúde","de 501 a 1.000","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Finanças ou Bancos","de 11 a 50","Modelo 100% remoto","7"
"2023","Empregado (CLT)","Varejo","de 101 a 500","Modelo 100% remoto","7"
"2023","Empregado (CLT)","Área da Saúde","de 1.001 a 3.000","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Indústria","de 501 a 1.000","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Setor Farmaceutico","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","7"
"2023","Empregado (CLT)","Educação","de 101 a 500","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Área da Saúde","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","7"
"2023","Empregado (CLT)","Indústria","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","7"
"2023","Empregado (CLT)","Área de Consultoria","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","7"
"2023","Empregado (CLT)","Educação","de 51 a 100","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Finanças ou Bancos","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","7"
"2023","Empregado (CLT)","Finanças ou Bancos","de 51 a 100","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Educação","Acima de 3.000","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Marketing","de 11 a 50","Modelo 100% remoto","7"
"2023","Empregado (CLT)","Área da Saúde","de 101 a 500","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Finanças ou Bancos","de 51 a 100","Modelo 100% remoto","7"
"2023","Empregado (CLT)","Varejo","de 51 a 100","Modelo 100% presencial","7"
"2023","Empregado (CLT)","Marketing","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empregado (CLT)","Marketing","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 51 a 100","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Varejo","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empreendedor ou Empregado (CNPJ)","Marketing","de 11 a 50","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Internet/Ecommerce","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empreendedor ou Empregado (CNPJ)","Outra Opção","de 101 a 500","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Telecomunicação","de 501 a 1.000","Modelo 100% presencial","6"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empregado (CLT)","Setor Imobiliário/ Construção Civil","Acima de 3.000","Modelo 100% presencial","6"
"2023","Empregado (CLT)","Outra Opção","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 6 a 10","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Setor Público","de 101 a 500","Modelo 100% presencial","6"
"2023","Empregado (CLT)","Internet/Ecommerce","de 501 a 1.000","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Indústria","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empregado (CLT)","Varejo","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empregado (CLT)","Agronegócios","de 101 a 500","Modelo 100% presencial","6"
"2023","Empregado (CLT)","Marketing","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Estagiário","Setor Público","Acima de 3.000","Modelo 100% presencial","6"
"2023","Empregado (CLT)","Educação","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Varejo","de 501 a 1.000","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empregado (CLT)","Outra Opção","de 501 a 1.000","Modelo 100% presencial","6"
"2023","Empregado (CLT)","Indústria","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Marketing","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Área da Saúde","de 501 a 1.000","Modelo 100% remoto","6"
"2023","Empregado (CLT)","Finanças ou Bancos","de 1.001 a 3.000","Modelo 100% presencial","6"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 1 a 5","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Varejo","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","6"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Telecomunicação","de 101 a 500","Modelo 100% presencial","6"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Entretenimento ou Esportes","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Seguros ou Previdência","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2023","Empregado (CLT)","Educação","de 1.001 a 3.000","Modelo 100% presencial","6"
"2023","Empregado (CLT)","Telecomunicação","de 1.001 a 3.000","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Setor Automotivo","Acima de 3.000","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Telecomunicação","Acima de 3.000","Modelo 100% presencial","5"
"2023","Estagiário","Tecnologia/Fábrica de Software","de 101 a 500","Modelo 100% remoto","5"
"2023","Estagiário","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Agronegócios","de 501 a 1.000","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Marketing","de 1.001 a 3.000","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Agronegócios","de 1.001 a 3.000","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Educação","de 51 a 100","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Marketing","de 51 a 100","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Área de Consultoria","de 101 a 500","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Setor Alimentício","de 101 a 500","Modelo 100% presencial","5"
"2023","Servidor Público","Setor Público","de 1.001 a 3.000","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Seguros ou Previdência","de 101 a 500","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Educação","de 501 a 1.000","Modelo 100% presencial","5"
