"_ano_pesquisa","cargo_atual","nivel","genero","cor_raca_etnia","pcd","qtd_respondentes"
"2023","Outra Opção","Júnior","Feminino","Parda","Não","10"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Preta","Não","10"
"2023","Analista de Suporte/Analista Técnico","Pleno","Masculino","Parda","Não","10"
"2023","Analista de Negócios/Business Analyst","Pleno","Feminino","Branca","Não","10"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","Parda","Não","10"
"2023","Outra Opção","Júnior","Masculino","Preta","Não","10"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Preta","Não","9"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Feminino","Parda","Não","9"
"2023","Analista de Negócios/Business Analyst","Sênior","Masculino","Parda","Não","9"
"2023","Analista de Dados/Data Analyst","Pleno","Masculino","Amarela","Não","9"
"2023","Analista de Negócios/Business Analyst","Júnior","Masculino","Parda","Não","8"
"2023",,,"Feminino","Amarela","Não","8"
"2023","Analytics Engineer","Pleno","Feminino","Branca","Não","8"
"2023",,,"Masculino","Outra","Não","8"
"2023",,,"Feminino","Branca","Sim","8"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Feminino","Parda","Não","8"
"2023","Outra Opção","Sênior","Masculino","Parda","Não","8"
"2023","Outra Opção","Pleno","Feminino","Parda","Não","8"
"2023","Analista de Negócios/Business Analyst","Júnior","Feminino","Branca","Não","8"
"2023","Professor/Pesquisador","Sênior","Masculino","Branca","Não","8"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Amarela","Não","8"
"2023","Analista de Suporte/Analista Técnico","Júnior","Masculino","Parda","Não","8"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Amarela","Não","8"
"2023",,,"Masculino","Branca","Sim","8"
"2023","Analytics Engineer","Sênior","Masculino","Parda","Não","8"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Parda","Não","8"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Amarela","Não","8"
"2023","Analytics Engineer","Sênior","Feminino","Branca","Não","8"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","Masculino","Branca","Não","8"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Masculino","Parda","Não","7"
"2023","Analista de Suporte/Analista Técnico","Júnior","Masculino","Branca","Não","7"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Feminino","Branca","Não","7"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Preta","Não","7"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Preta","Não","7"
"2023","Cientista de Dados/Data Scientist","Pleno","Masculino","Amarela","Não","7"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","Preta","Não","7"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Preta","Não","7"
"2023","Analista de Dados/Data Analyst","Pleno","Feminino","Preta","Não","7"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","Masculino","Parda","Não","7"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Parda","Não","7"
"2023","Outras Engenharias (não inclui dev)","Sênior","Masculino","Branca","Não","7"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Preta","Não","7"
"2023","Analista de Negócios/Business Analyst","Sênior","Feminino","Parda","Não","7"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","Masculino","Parda","Não","6"
"2023","Analista de Dados/Data Analyst","Sênior","Feminino","Amarela","Não","6"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Pleno","Masculino","Parda","Não","6"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","Feminino","Parda","Não","6"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","Masculino","Branca","Não","6"
"2023","Analytics Engineer","Júnior","Masculino","Branca","Não","6"
"2023","Analista de Negócios/Business Analyst","Júnior","Feminino","Parda","Não","6"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Amarela","Não","6"
"2023","Professor/Pesquisador","Pleno","Masculino","Branca","Não","6"
"2023","Analista de Negócios/Business Analyst","Pleno","Feminino","Parda","Não","6"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","Masculino","Parda","Não","6"
"2023","Analista de Dados/Data Analyst","Sênior","Feminino","Preta","Não","5"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","Preta","Não","5"
"2023","Cientista de Dados/Data Scientist","Pleno","Feminino","Preta","Não","5"
"2023","Analista de Suporte/Analista Técnico","Sênior","Masculino","Branca","Não","5"
"2023","Analytics Engineer","Sênior","Masculino","Preta","Não","5"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","Masculino","Parda","Não","5"
"2023","Analytics Engineer","Júnior","Masculino","Parda","Não","5"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","Masculino","Parda","Não","5"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","Masculino","Branca","Não","5"
"2023","Analista de Suporte/Analista Técnico","Pleno","Masculino","Preta","Não","5"
"2023","Cientista de Dados/Data Scientist","Sênior","Feminino","Amarela","Não","4"
"2023",,,"Masculino","Parda","Sim","4"
"2023","Analista de Dados/Data Analyst","Sênior","Feminino","Branca","Sim","4"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","Amarela","Não","4"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","Masculino","Branca","Não","4"
"2023","DBA/Administrador de Banco de Dados","Sênior","Masculino","Branca","Não","4"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","Feminino","Branca","Não","4"
"2023","Outra Opção","Sênior","Feminino","Parda","Não","4"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","Branca","Sim","4"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Pleno","Feminino","Branca","Não","4"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","Feminino","Branca","Não","4"
"2023","Analytics Engineer","Pleno","Feminino","Parda","Não","4"
"2023","Analista de Suporte/Analista Técnico","Pleno","Feminino","Branca","Não","4"
"2023","DBA/Administrador de Banco de Dados","Sênior","Masculino","Parda","Não","4"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Branca","Sim","4"
"2023","Outras Engenharias (não inclui dev)","Júnior","Masculino","Parda","Não","4"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Masculino","Parda","Não","4"
"2023","Outras Engenharias (não inclui dev)","Pleno","Masculino","Parda","Não","4"
"2023","Analytics Engineer","Sênior","Masculino","Amarela","Não","4"
"2023","Analista de Negócios/Business Analyst","Sênior","Masculino","Preta","Não","4"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Pleno","Masculino","Branca","Não","4"
"2023","Analista de Suporte/Analista Técnico","Júnior","Feminino","Branca","Não","4"
"2023",,,"Prefiro não informar","Branca","Não","3"
"2023","Cientista de Dados/Data Scientist","Sênior","Feminino","Preta","Não","3"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","Amarela","Não","3"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","Branca","Sim","3"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Sênior","Masculino","Branca","Não","3"
"2023","Analista de Negócios/Business Analyst","Sênior","Feminino","Preta","Não","3"
"2023","Estatístico","Pleno","Feminino","Branca","Não","3"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","Preta","Não","3"
"2023","Analista de Suporte/Analista Técnico","Júnior","Feminino","Parda","Não","3"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Parda","Sim","3"
"2023",,,"Feminino","Parda","Sim","3"
"2023","Outra Opção","Júnior","Feminino","Preta","Não","3"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Amarela","Não","3"
"2023","Analista de Suporte/Analista Técnico","Sênior","Masculino","Parda","Não","3"
"2023","Outras Engenharias (não inclui dev)","Pleno","Masculino","Branca","Não","3"
